source,medium,campaign,content,audience,title_zh,title_en,copy_zh,copy_en,cta_zh,cta_en,landing_page,utm_url
"linkedin","organic","configurator_configurator","technical","技術團隊","Comino Grando GPU 伺服器配置器","Comino Grando GPU Server Configurator","Comino Grando GPU 伺服器配置器已可先整理 GPU、CPU、記憶體、NVMe、電源與網路假設。技術團隊可用配置器把討論內容轉成可追蹤的配置連結，再交給 EudTech 進行正式報價確認。","Comino Grando GPU Server Configurator helps technical teams align GPU, CPU, memory, NVMe, power, and networking assumptions before RFQ. Use the configurator to create a trackable build link for EudTech quote follow-up.","開啟配置器","Open configurator","https://eudaemonia.tech/configurator/","https://eudaemonia.tech/configurator/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_configurator&utm_content=technical"
"linkedin","organic","configurator_configurator","procurement","採購團隊","Comino Grando GPU 伺服器配置器","Comino Grando GPU Server Configurator","採購 GPU 伺服器或 AI 工作站時，先用「Comino Grando GPU 伺服器配置器」把規格、用途與配置假設集中在同一個連結，方便內部審查與後續詢價。","For GPU server or AI workstation procurement, Comino Grando GPU Server Configurator keeps configuration assumptions and quote context in one reviewable link.","取得配置連結","Get configuration link","https://eudaemonia.tech/configurator/","https://eudaemonia.tech/configurator/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_configurator&utm_content=procurement"
"email","outreach","configurator_configurator","rfq_followup","詢價追蹤","Comino Grando GPU 伺服器配置器","Comino Grando GPU Server Configurator","您好，這是「Comino Grando GPU 伺服器配置器」的配置入口。若您正在評估 AI 訓練、推論、HPC 或 GPU 工作站需求，可先用此連結整理配置，再回覆給我們安排正式報價。","Hello, this is the configuration entry for Comino Grando GPU Server Configurator. If you are evaluating AI training, inference, HPC, or GPU workstation requirements, you can use this link to prepare the build before requesting a formal quote.","回覆此信並附上配置","Reply with the configuration","https://eudaemonia.tech/configurator/","https://eudaemonia.tech/configurator/?utm_source=email&utm_medium=outreach&utm_campaign=configurator_configurator&utm_content=rfq_followup"
"linkedin","organic","configurator_solutions","technical","技術團隊","配置器解決方案總覽","Configurator Solutions Hub","配置器解決方案總覽已可先整理 GPU、CPU、記憶體、NVMe、電源與網路假設。技術團隊可用配置器把討論內容轉成可追蹤的配置連結，再交給 EudTech 進行正式報價確認。","Configurator Solutions Hub helps technical teams align GPU, CPU, memory, NVMe, power, and networking assumptions before RFQ. Use the configurator to create a trackable build link for EudTech quote follow-up.","開啟配置器","Open configurator","https://eudaemonia.tech/solutions/","https://eudaemonia.tech/solutions/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_solutions&utm_content=technical"
"linkedin","organic","configurator_solutions","procurement","採購團隊","配置器解決方案總覽","Configurator Solutions Hub","採購 GPU 伺服器或 AI 工作站時，先用「配置器解決方案總覽」把規格、用途與配置假設集中在同一個連結，方便內部審查與後續詢價。","For GPU server or AI workstation procurement, Configurator Solutions Hub keeps configuration assumptions and quote context in one reviewable link.","取得配置連結","Get configuration link","https://eudaemonia.tech/solutions/","https://eudaemonia.tech/solutions/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_solutions&utm_content=procurement"
"email","outreach","configurator_solutions","rfq_followup","詢價追蹤","配置器解決方案總覽","Configurator Solutions Hub","您好，這是「配置器解決方案總覽」的配置入口。若您正在評估 AI 訓練、推論、HPC 或 GPU 工作站需求，可先用此連結整理配置，再回覆給我們安排正式報價。","Hello, this is the configuration entry for Configurator Solutions Hub. If you are evaluating AI training, inference, HPC, or GPU workstation requirements, you can use this link to prepare the build before requesting a formal quote.","回覆此信並附上配置","Reply with the configuration","https://eudaemonia.tech/solutions/","https://eudaemonia.tech/solutions/?utm_source=email&utm_medium=outreach&utm_campaign=configurator_solutions&utm_content=rfq_followup"
"linkedin","organic","configurator_configurator_28","technical","技術團隊","GRANDO 機架式工作站 GPU 配置器","GRANDO Rackable Workstation GPU Configurator","GRANDO 機架式工作站 GPU 配置器已可先整理 GPU、CPU、記憶體、NVMe、電源與網路假設。技術團隊可用配置器把討論內容轉成可追蹤的配置連結，再交給 EudTech 進行正式報價確認。","GRANDO Rackable Workstation GPU Configurator helps technical teams align GPU, CPU, memory, NVMe, power, and networking assumptions before RFQ. Use the configurator to create a trackable build link for EudTech quote follow-up.","開啟配置器","Open configurator","https://eudaemonia.tech/configurator/28/","https://eudaemonia.tech/configurator/28/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_configurator_28&utm_content=technical"
"linkedin","organic","configurator_configurator_28","procurement","採購團隊","GRANDO 機架式工作站 GPU 配置器","GRANDO Rackable Workstation GPU Configurator","採購 GPU 伺服器或 AI 工作站時，先用「GRANDO 機架式工作站 GPU 配置器」把規格、用途與配置假設集中在同一個連結，方便內部審查與後續詢價。","For GPU server or AI workstation procurement, GRANDO Rackable Workstation GPU Configurator keeps configuration assumptions and quote context in one reviewable link.","取得配置連結","Get configuration link","https://eudaemonia.tech/configurator/28/","https://eudaemonia.tech/configurator/28/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_configurator_28&utm_content=procurement"
"email","outreach","configurator_configurator_28","rfq_followup","詢價追蹤","GRANDO 機架式工作站 GPU 配置器","GRANDO Rackable Workstation GPU Configurator","您好，這是「GRANDO 機架式工作站 GPU 配置器」的配置入口。若您正在評估 AI 訓練、推論、HPC 或 GPU 工作站需求，可先用此連結整理配置，再回覆給我們安排正式報價。","Hello, this is the configuration entry for GRANDO Rackable Workstation GPU Configurator. If you are evaluating AI training, inference, HPC, or GPU workstation requirements, you can use this link to prepare the build before requesting a formal quote.","回覆此信並附上配置","Reply with the configuration","https://eudaemonia.tech/configurator/28/","https://eudaemonia.tech/configurator/28/?utm_source=email&utm_medium=outreach&utm_campaign=configurator_configurator_28&utm_content=rfq_followup"
"linkedin","organic","configurator_configurator_29","technical","技術團隊","NVIDIA H200 GPU 伺服器配置器","NVIDIA H200 GPU Server Configurator","NVIDIA H200 GPU 伺服器配置器已可先整理 GPU、CPU、記憶體、NVMe、電源與網路假設。技術團隊可用配置器把討論內容轉成可追蹤的配置連結，再交給 EudTech 進行正式報價確認。","NVIDIA H200 GPU Server Configurator helps technical teams align GPU, CPU, memory, NVMe, power, and networking assumptions before RFQ. Use the configurator to create a trackable build link for EudTech quote follow-up.","開啟配置器","Open configurator","https://eudaemonia.tech/configurator/29/","https://eudaemonia.tech/configurator/29/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_configurator_29&utm_content=technical"
"linkedin","organic","configurator_configurator_29","procurement","採購團隊","NVIDIA H200 GPU 伺服器配置器","NVIDIA H200 GPU Server Configurator","採購 GPU 伺服器或 AI 工作站時，先用「NVIDIA H200 GPU 伺服器配置器」把規格、用途與配置假設集中在同一個連結，方便內部審查與後續詢價。","For GPU server or AI workstation procurement, NVIDIA H200 GPU Server Configurator keeps configuration assumptions and quote context in one reviewable link.","取得配置連結","Get configuration link","https://eudaemonia.tech/configurator/29/","https://eudaemonia.tech/configurator/29/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_configurator_29&utm_content=procurement"
"email","outreach","configurator_configurator_29","rfq_followup","詢價追蹤","NVIDIA H200 GPU 伺服器配置器","NVIDIA H200 GPU Server Configurator","您好，這是「NVIDIA H200 GPU 伺服器配置器」的配置入口。若您正在評估 AI 訓練、推論、HPC 或 GPU 工作站需求，可先用此連結整理配置，再回覆給我們安排正式報價。","Hello, this is the configuration entry for NVIDIA H200 GPU Server Configurator. If you are evaluating AI training, inference, HPC, or GPU workstation requirements, you can use this link to prepare the build before requesting a formal quote.","回覆此信並附上配置","Reply with the configuration","https://eudaemonia.tech/configurator/29/","https://eudaemonia.tech/configurator/29/?utm_source=email&utm_medium=outreach&utm_campaign=configurator_configurator_29&utm_content=rfq_followup"
"linkedin","organic","configurator_nvidia_h200_server","technical","技術團隊","NVIDIA H200 GPU 伺服器配置器","NVIDIA H200 GPU Server Configurator","NVIDIA H200 GPU 伺服器配置器已可先整理 GPU、CPU、記憶體、NVMe、電源與網路假設。技術團隊可用配置器把討論內容轉成可追蹤的配置連結，再交給 EudTech 進行正式報價確認。","NVIDIA H200 GPU Server Configurator helps technical teams align GPU, CPU, memory, NVMe, power, and networking assumptions before RFQ. Use the configurator to create a trackable build link for EudTech quote follow-up.","開啟配置器","Open configurator","https://eudaemonia.tech/solutions/nvidia-h200-server/","https://eudaemonia.tech/solutions/nvidia-h200-server/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_nvidia_h200_server&utm_content=technical"
"linkedin","organic","configurator_nvidia_h200_server","procurement","採購團隊","NVIDIA H200 GPU 伺服器配置器","NVIDIA H200 GPU Server Configurator","採購 GPU 伺服器或 AI 工作站時，先用「NVIDIA H200 GPU 伺服器配置器」把規格、用途與配置假設集中在同一個連結，方便內部審查與後續詢價。","For GPU server or AI workstation procurement, NVIDIA H200 GPU Server Configurator keeps configuration assumptions and quote context in one reviewable link.","取得配置連結","Get configuration link","https://eudaemonia.tech/solutions/nvidia-h200-server/","https://eudaemonia.tech/solutions/nvidia-h200-server/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_nvidia_h200_server&utm_content=procurement"
"email","outreach","configurator_nvidia_h200_server","rfq_followup","詢價追蹤","NVIDIA H200 GPU 伺服器配置器","NVIDIA H200 GPU Server Configurator","您好，這是「NVIDIA H200 GPU 伺服器配置器」的配置入口。若您正在評估 AI 訓練、推論、HPC 或 GPU 工作站需求，可先用此連結整理配置，再回覆給我們安排正式報價。","Hello, this is the configuration entry for NVIDIA H200 GPU Server Configurator. If you are evaluating AI training, inference, HPC, or GPU workstation requirements, you can use this link to prepare the build before requesting a formal quote.","回覆此信並附上配置","Reply with the configuration","https://eudaemonia.tech/solutions/nvidia-h200-server/","https://eudaemonia.tech/solutions/nvidia-h200-server/?utm_source=email&utm_medium=outreach&utm_campaign=configurator_nvidia_h200_server&utm_content=rfq_followup"
"linkedin","organic","configurator_rtx_pro_6000_workstation","technical","技術團隊","RTX PRO 6000 AI 工作站配置器","RTX PRO 6000 AI Workstation Configurator","RTX PRO 6000 AI 工作站配置器已可先整理 GPU、CPU、記憶體、NVMe、電源與網路假設。技術團隊可用配置器把討論內容轉成可追蹤的配置連結，再交給 EudTech 進行正式報價確認。","RTX PRO 6000 AI Workstation Configurator helps technical teams align GPU, CPU, memory, NVMe, power, and networking assumptions before RFQ. Use the configurator to create a trackable build link for EudTech quote follow-up.","開啟配置器","Open configurator","https://eudaemonia.tech/solutions/rtx-pro-6000-workstation/","https://eudaemonia.tech/solutions/rtx-pro-6000-workstation/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_rtx_pro_6000_workstation&utm_content=technical"
"linkedin","organic","configurator_rtx_pro_6000_workstation","procurement","採購團隊","RTX PRO 6000 AI 工作站配置器","RTX PRO 6000 AI Workstation Configurator","採購 GPU 伺服器或 AI 工作站時，先用「RTX PRO 6000 AI 工作站配置器」把規格、用途與配置假設集中在同一個連結，方便內部審查與後續詢價。","For GPU server or AI workstation procurement, RTX PRO 6000 AI Workstation Configurator keeps configuration assumptions and quote context in one reviewable link.","取得配置連結","Get configuration link","https://eudaemonia.tech/solutions/rtx-pro-6000-workstation/","https://eudaemonia.tech/solutions/rtx-pro-6000-workstation/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_rtx_pro_6000_workstation&utm_content=procurement"
"email","outreach","configurator_rtx_pro_6000_workstation","rfq_followup","詢價追蹤","RTX PRO 6000 AI 工作站配置器","RTX PRO 6000 AI Workstation Configurator","您好，這是「RTX PRO 6000 AI 工作站配置器」的配置入口。若您正在評估 AI 訓練、推論、HPC 或 GPU 工作站需求，可先用此連結整理配置，再回覆給我們安排正式報價。","Hello, this is the configuration entry for RTX PRO 6000 AI Workstation Configurator. If you are evaluating AI training, inference, HPC, or GPU workstation requirements, you can use this link to prepare the build before requesting a formal quote.","回覆此信並附上配置","Reply with the configuration","https://eudaemonia.tech/solutions/rtx-pro-6000-workstation/","https://eudaemonia.tech/solutions/rtx-pro-6000-workstation/?utm_source=email&utm_medium=outreach&utm_campaign=configurator_rtx_pro_6000_workstation&utm_content=rfq_followup"
"linkedin","organic","configurator_ai_workstation_taiwan","technical","技術團隊","台灣 AI 工作站配置器","AI Workstation Taiwan Configurator","台灣 AI 工作站配置器已可先整理 GPU、CPU、記憶體、NVMe、電源與網路假設。技術團隊可用配置器把討論內容轉成可追蹤的配置連結，再交給 EudTech 進行正式報價確認。","AI Workstation Taiwan Configurator helps technical teams align GPU, CPU, memory, NVMe, power, and networking assumptions before RFQ. Use the configurator to create a trackable build link for EudTech quote follow-up.","開啟配置器","Open configurator","https://eudaemonia.tech/solutions/ai-workstation-taiwan/","https://eudaemonia.tech/solutions/ai-workstation-taiwan/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_ai_workstation_taiwan&utm_content=technical"
"linkedin","organic","configurator_ai_workstation_taiwan","procurement","採購團隊","台灣 AI 工作站配置器","AI Workstation Taiwan Configurator","採購 GPU 伺服器或 AI 工作站時，先用「台灣 AI 工作站配置器」把規格、用途與配置假設集中在同一個連結，方便內部審查與後續詢價。","For GPU server or AI workstation procurement, AI Workstation Taiwan Configurator keeps configuration assumptions and quote context in one reviewable link.","取得配置連結","Get configuration link","https://eudaemonia.tech/solutions/ai-workstation-taiwan/","https://eudaemonia.tech/solutions/ai-workstation-taiwan/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_ai_workstation_taiwan&utm_content=procurement"
"email","outreach","configurator_ai_workstation_taiwan","rfq_followup","詢價追蹤","台灣 AI 工作站配置器","AI Workstation Taiwan Configurator","您好，這是「台灣 AI 工作站配置器」的配置入口。若您正在評估 AI 訓練、推論、HPC 或 GPU 工作站需求，可先用此連結整理配置，再回覆給我們安排正式報價。","Hello, this is the configuration entry for AI Workstation Taiwan Configurator. If you are evaluating AI training, inference, HPC, or GPU workstation requirements, you can use this link to prepare the build before requesting a formal quote.","回覆此信並附上配置","Reply with the configuration","https://eudaemonia.tech/solutions/ai-workstation-taiwan/","https://eudaemonia.tech/solutions/ai-workstation-taiwan/?utm_source=email&utm_medium=outreach&utm_campaign=configurator_ai_workstation_taiwan&utm_content=rfq_followup"
"linkedin","organic","configurator_liquid_cooled_gpu_server","technical","技術團隊","液冷 GPU 伺服器配置器","Liquid-Cooled GPU Server Configurator","液冷 GPU 伺服器配置器已可先整理 GPU、CPU、記憶體、NVMe、電源與網路假設。技術團隊可用配置器把討論內容轉成可追蹤的配置連結，再交給 EudTech 進行正式報價確認。","Liquid-Cooled GPU Server Configurator helps technical teams align GPU, CPU, memory, NVMe, power, and networking assumptions before RFQ. Use the configurator to create a trackable build link for EudTech quote follow-up.","開啟配置器","Open configurator","https://eudaemonia.tech/solutions/liquid-cooled-gpu-server/","https://eudaemonia.tech/solutions/liquid-cooled-gpu-server/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_liquid_cooled_gpu_server&utm_content=technical"
"linkedin","organic","configurator_liquid_cooled_gpu_server","procurement","採購團隊","液冷 GPU 伺服器配置器","Liquid-Cooled GPU Server Configurator","採購 GPU 伺服器或 AI 工作站時，先用「液冷 GPU 伺服器配置器」把規格、用途與配置假設集中在同一個連結，方便內部審查與後續詢價。","For GPU server or AI workstation procurement, Liquid-Cooled GPU Server Configurator keeps configuration assumptions and quote context in one reviewable link.","取得配置連結","Get configuration link","https://eudaemonia.tech/solutions/liquid-cooled-gpu-server/","https://eudaemonia.tech/solutions/liquid-cooled-gpu-server/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_liquid_cooled_gpu_server&utm_content=procurement"
"email","outreach","configurator_liquid_cooled_gpu_server","rfq_followup","詢價追蹤","液冷 GPU 伺服器配置器","Liquid-Cooled GPU Server Configurator","您好，這是「液冷 GPU 伺服器配置器」的配置入口。若您正在評估 AI 訓練、推論、HPC 或 GPU 工作站需求，可先用此連結整理配置，再回覆給我們安排正式報價。","Hello, this is the configuration entry for Liquid-Cooled GPU Server Configurator. If you are evaluating AI training, inference, HPC, or GPU workstation requirements, you can use this link to prepare the build before requesting a formal quote.","回覆此信並附上配置","Reply with the configuration","https://eudaemonia.tech/solutions/liquid-cooled-gpu-server/","https://eudaemonia.tech/solutions/liquid-cooled-gpu-server/?utm_source=email&utm_medium=outreach&utm_campaign=configurator_liquid_cooled_gpu_server&utm_content=rfq_followup"
"linkedin","organic","configurator_gpu_server_quote","technical","技術團隊","GPU 伺服器報價配置器","GPU Server Quote Configurator","GPU 伺服器報價配置器已可先整理 GPU、CPU、記憶體、NVMe、電源與網路假設。技術團隊可用配置器把討論內容轉成可追蹤的配置連結，再交給 EudTech 進行正式報價確認。","GPU Server Quote Configurator helps technical teams align GPU, CPU, memory, NVMe, power, and networking assumptions before RFQ. Use the configurator to create a trackable build link for EudTech quote follow-up.","開啟配置器","Open configurator","https://eudaemonia.tech/solutions/gpu-server-quote/","https://eudaemonia.tech/solutions/gpu-server-quote/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_gpu_server_quote&utm_content=technical"
"linkedin","organic","configurator_gpu_server_quote","procurement","採購團隊","GPU 伺服器報價配置器","GPU Server Quote Configurator","採購 GPU 伺服器或 AI 工作站時，先用「GPU 伺服器報價配置器」把規格、用途與配置假設集中在同一個連結，方便內部審查與後續詢價。","For GPU server or AI workstation procurement, GPU Server Quote Configurator keeps configuration assumptions and quote context in one reviewable link.","取得配置連結","Get configuration link","https://eudaemonia.tech/solutions/gpu-server-quote/","https://eudaemonia.tech/solutions/gpu-server-quote/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_gpu_server_quote&utm_content=procurement"
